Symbol,Name,Sector,Market Cap
SBCF,Seacoast Banking Corporation of Florida,Financials,Small Cap
SEM,Select Medical Holdings Corporation,Health Care,Small Cap
SENEA,Seneca Foods Corporation,Consumer Staples,Small Cap
SFBS,ServisFirst Bancshares Inc.,Financials,Small Cap
SHAK,Shake Shack Inc.,Consumer Discretionary,Small Cap
SHEN,Shenandoah Telecommunications Co,Communication Services,Small Cap
SCVL,Shoe Carnival Inc.,Consumer Discretionary,Small Cap
SSTK,Shutterstock Inc.,Consumer Discretionary,Small Cap
SIG,Signet Jewelers,Consumer Discretionary,Small Cap
SFNC,Simmons First National Corporation,Financials,Small Cap
SMPL,Simply Good Foods Company,Consumer Staples,Small Cap
SLP,Simulations Plus Inc.,Health Care,Small Cap
SITC,SITE Centers Corp.,Real Estate,Small Cap
SKYW,SkyWest Inc.,Industrials,Small Cap
SNBR,Sleep Number Corporation,Consumer Discretionary,Small Cap
SM,SM Energy Company,Energy,Small Cap
SGH,SMART Global Holdings Inc.,Information Technology,Small Cap
SAH,Sonic Automotive Inc.,Consumer Discretionary,Small Cap
SJI,South Jersey Industries Inc.,Utilities,Small Cap
